accuracy,loss,top3_accuracy,val_accuracy,val_loss,val_top3_accuracy,learning_rate
0.7367995381355286,1.0758540630340576,0.8560770153999329,0.8392196893692017,0.5842965841293335,0.948390543460846,0.0010000000474974513
0.8173993825912476,0.6533858180046082,0.935746431350708,0.8608137965202332,0.48909932374954224,0.9641311168670654,0.0010000000474974513
0.8361930251121521,0.5724197626113892,0.9510434865951538,0.8634405136108398,0.4704807698726654,0.9663741588592529,0.0010000000474974513
0.8456988334655762,0.5306093692779541,0.9581383466720581,0.8723732829093933,0.4387415647506714,0.9735459685325623,0.0010000000474974513
0.8515216112136841,0.5042698979377747,0.963020920753479,0.875127911567688,0.42338430881500244,0.974677324295044,0.0010000000474974513
0.85548335313797,0.4873593747615814,0.9657421112060547,0.8732587099075317,0.4218257665634155,0.975493848323822,0.0010000000474974513
0.8589314818382263,0.4761948585510254,0.9676272869110107,0.8838737607002258,0.393543541431427,0.9791830778121948,0.0010000000474974513
0.8606882095336914,0.4678119122982025,0.9689333438873291,0.8845131993293762,0.3861817717552185,0.9806686043739319,0.0010000000474974513
0.8637607097625732,0.4580574631690979,0.9710462689399719,0.8812863826751709,0.39546719193458557,0.9797831773757935,0.0010000000474974513
0.8647638559341431,0.4516827464103699,0.971523642539978,0.8856445550918579,0.38277721405029297,0.9806390404701233,0.0010000000474974513
0.8664261102676392,0.44574350118637085,0.9721899628639221,0.8846214413642883,0.37937185168266296,0.9814064502716064,0.0010000000474974513
0.8671385049819946,0.44249704480171204,0.9733603596687317,0.8825063109397888,0.38748103380203247,0.9812490344047546,0.0010000000474974513
0.8676716089248657,0.43955668807029724,0.9736729264259338,0.8812863826751709,0.38803040981292725,0.9820852279663086,0.0010000000474974513
0.8680035471916199,0.43905502557754517,0.9738425612449646,0.8869431614875793,0.3716621696949005,0.9826656579971313,0.0010000000474974513
0.8692466020584106,0.4333401918411255,0.9745549559593201,0.8828506469726562,0.3904084265232086,0.9820852279663086,0.0010000000474974513
0.8697143197059631,0.4315871596336365,0.9750128984451294,0.887130081653595,0.38227683305740356,0.982311487197876,0.0010000000474974513
0.8694646954536438,0.431761234998703,0.9752479195594788,0.8891763687133789,0.37107813358306885,0.9830591678619385,0.0010000000474974513
0.8705284595489502,0.43063560128211975,0.9750734567642212,0.880735456943512,0.3933680057525635,0.9818392992019653,0.0010000000474974513
0.8703321814537048,0.4301925003528595,0.9755023717880249,0.8835097551345825,0.3849969208240509,0.9825968146324158,0.0010000000474974513
0.8712238669395447,0.42726629972457886,0.9757907390594482,0.8876023292541504,0.37082821130752563,0.9838461875915527,0.0010000000474974513
0.8697482347488403,0.43311911821365356,0.9754320979118347,0.8887730240821838,0.3721964359283447,0.9829411506652832,0.0010000000474974513
0.8651055097579956,0.4579636752605438,0.9713128209114075,0.8856642246246338,0.38723650574684143,0.9817999601364136,0.0010000000474974513
0.8690091371536255,0.43711668252944946,0.9748675227165222,0.8857429623603821,0.3799450695514679,0.9822328090667725,0.0010000000474974513
0.8707659244537354,0.4318072497844696,0.9753593802452087,0.8911144137382507,0.36342543363571167,0.9838954210281372,0.0010000000474974513
0.8705744743347168,0.43146809935569763,0.9752721786499023,0.8851625323295593,0.37560102343559265,0.983255922794342,0.0010000000474974513
0.85968017578125,0.476398229598999,0.9688218832015991,0.8861561417579651,0.38644424080848694,0.9812490344047546,0.0010000000474974513
0.8676352500915527,0.4443559944629669,0.9736559391021729,0.8851330280303955,0.3804933726787567,0.9832854270935059,0.0010000000474974513
0.8587836623191833,0.4882589280605316,0.9672226309776306,0.8131788372993469,0.7058772444725037,0.933968186378479,0.0010000000474974513
0.8448119759559631,0.5519730448722839,0.9584824442863464,0.8651719689369202,0.46785300970077515,0.9704371690750122,0.0005000000237487257
0.85990309715271,0.47588932514190674,0.9695245623588562,0.8865299820899963,0.3714800775051117,0.9831280708312988,0.0005000000237487257
0.8619215488433838,0.4680200517177582,0.9701133966445923,0.8883598446846008,0.3781006336212158,0.9828919172286987,0.0005000000237487257
0.8639715313911438,0.45897752046585083,0.9713031053543091,0.870936930179596,0.4492502510547638,0.9732508063316345,0.0005000000237487257
