class,precision,recall,f1-score,support
춥다,0.827586207,0.75,0.786885246,32
충분,0,0,0,0
충분하다,0,0,0,0
충전,0.862068966,0.943396226,0.900900901,53
카드,0.856470588,0.844547564,0.85046729,431
카톡보내다,0,0,0,0
카페,0,0,0,0
켜다,0.854014599,0.955102041,0.901734104,245
타다,0,0,0,0
택시,0.868421053,0.863874346,0.866141732,191
터널,0.885245902,0.947368421,0.915254237,171
트렁크닫다,0,0,0,0
트렁크열다,0.871428571,0.890510949,0.880866426,137
틀리다,0.931034483,0.529411765,0.675,51
틈,0.954545455,0.933333333,0.943820225,45
파리바게트,0.945355191,0.961111111,0.953168044,180
편의점,0.921052632,0.875,0.897435897,40
편지,0.884146341,0.935483871,0.909090909,155
표,0.8,0.545454545,0.648648649,22
표지판,0,0,0,0
필요,0.894736842,0.918918919,0.906666667,111
필요없다,0,0,0,0
하나,0.923076923,0.827586207,0.872727273,29
하루,0,0,0,0
학교,0.767123288,0.674698795,0.717948718,83
한국농아인협회,0.784916201,0.793785311,0.789325843,354
한달,0,0,0,0
할수있다,1,0.5,0.666666667,6
항상,0.828125,0.913793103,0.868852459,58
해보다,0,0,0,0
핸드폰,0.769230769,0.476190476,0.588235294,42
화나다,0.936170213,0.8,0.862745098,55
화장실,0.714285714,0.652173913,0.681818182,23
확인,0.9,0.914438503,0.907161804,187
확인증,0,0,0,0
회의실,0.887096774,0.948275862,0.916666667,58
횡단보도,0,0,0,0
후,0,0,0,0
힘들다,0,0,0,0
__BLANK__,0.95150439,0.93965786,0.945544021,51324
accuracy,0.913977648,0.913977648,0.913977648,0.913977648
macro avg,0.58346057,0.552534794,0.559851273,101648
weighted avg,0.916394698,0.913977648,0.913942111,101648
