accuracy,loss,top3_accuracy,val_accuracy,val_loss,val_top3_accuracy,learning_rate
0.8010676503181458,0.7809118032455444,0.9145878553390503,0.8335333466529846,0.5860405564308167,0.9522371292114258,0.0010000000474974513
0.8640878200531006,0.45416325330734253,0.9715696573257446,0.8615909814834595,0.4586721360683441,0.9765465259552002,0.0010000000474974513
0.876227617263794,0.39770105481147766,0.9799536466598511,0.8699826598167419,0.4335959255695343,0.9765366911888123,0.0010000000474974513
0.8837295770645142,0.36479219794273376,0.9840801954269409,0.892432689666748,0.34914249181747437,0.9871615767478943,0.0010000000474974513
0.8887768983840942,0.34276139736175537,0.9865154027938843,0.8812568783760071,0.3952183723449707,0.9811309576034546,0.0010000000474974513
0.8933395743370056,0.32644402980804443,0.9885847568511963,0.8880941867828369,0.36434927582740784,0.9856563806533813,0.0010000000474974513
0.8954113721847534,0.3139652907848358,0.9897429943084717,0.8970368504524231,0.33419081568717957,0.9883421063423157,0.0010000000474974513
0.8976987600326538,0.3050268292427063,0.9908164143562317,0.898551881313324,0.3259335458278656,0.9897194504737854,0.0010000000474974513
0.9001606702804565,0.2964770793914795,0.9914318919181824,0.8901699781417847,0.3616500794887543,0.9861384630203247,0.0010000000474974513
0.9021960496902466,0.28848758339881897,0.992141842842102,0.8996832370758057,0.3240192234516144,0.9894439578056335,0.0010000000474974513
0.9033228158950806,0.282566636800766,0.9927136898040771,0.9022803902626038,0.318478524684906,0.9900833964347839,0.0010000000474974513
0.905256450176239,0.27597180008888245,0.9929754137992859,0.8990142345428467,0.3345954716205597,0.9898276329040527,0.0010000000474974513
0.9063565135002136,0.271676629781723,0.9935181736946106,0.9004997611045837,0.32094740867614746,0.9896800518035889,0.0010000000474974513
0.9071900844573975,0.26712465286254883,0.9937968254089355,0.9023394584655762,0.3238682746887207,0.9898079633712769,0.0010000000474974513
0.9080139398574829,0.2640465795993805,0.9940949082374573,0.8961415886878967,0.34390944242477417,0.9879289269447327,0.0010000000474974513
0.9150603413581848,0.2375022917985916,0.9958661794662476,0.904405415058136,0.31936830282211304,0.9907130599021912,0.0005000000237487257
0.9170618057250977,0.22963999211788177,0.9962490200996399,0.9085766673088074,0.3052026331424713,0.9920116662979126,0.0005000000237487257
0.9184308648109436,0.2257593721151352,0.9964355826377869,0.9076420664787292,0.30344709753990173,0.9919427633285522,0.0005000000237487257
0.919308066368103,0.22337815165519714,0.9963725805282593,0.9080060720443726,0.31496596336364746,0.9918345808982849,0.0005000000237487257
0.9196909070014954,0.2203112542629242,0.9967700242996216,0.9095801115036011,0.3127027750015259,0.9920510053634644,0.0005000000237487257
0.9205002188682556,0.2178676873445511,0.9968112111091614,0.9080847501754761,0.3163450062274933,0.9917558431625366,0.0005000000237487257
0.9211811423301697,0.21569311618804932,0.996801495552063,0.9087045192718506,0.3066113293170929,0.9917460083961487,0.0005000000237487257
0.9257099032402039,0.20033302903175354,0.9976423382759094,0.9126396775245667,0.305606484413147,0.9925527572631836,0.0002500000118743628
0.9266040325164795,0.19647414982318878,0.9977465271949768,0.9123150706291199,0.30842772126197815,0.9926019310951233,0.0002500000118743628
0.9275587201118469,0.19414381682872772,0.997836172580719,0.9107213020324707,0.3171888291835785,0.9921690821647644,0.0002500000118743628
0.9278204441070557,0.19259345531463623,0.997855544090271,0.9126101732254028,0.3118290603160858,0.9924051761627197,0.0002500000118743628
0.9307039380073547,0.18451090157032013,0.9981923699378967,0.91312175989151,0.3113596737384796,0.992651104927063,0.0001250000059371814
0.9315641522407532,0.18170136213302612,0.9981875419616699,0.9129053354263306,0.3134799897670746,0.9926216006278992,0.0001250000059371814
0.9316658973693848,0.18068422377109528,0.9981511831283569,0.9132693409919739,0.31352153420448303,0.9926216006278992,0.0001250000059371814
0.9322280883789062,0.1793624460697174,0.9984371066093445,0.9130529165267944,0.31888073682785034,0.9927002787590027,0.0001250000059371814
0.9334638714790344,0.174897238612175,0.9984322190284729,0.9138989448547363,0.31519752740859985,0.9927986860275269,6.25000029685907e-05
0.9339969158172607,0.1733054667711258,0.9984734654426575,0.9137907028198242,0.31873318552970886,0.992779016494751,6.25000029685907e-05
0.9344379305839539,0.17218317091464996,0.9985049366950989,0.9136825203895569,0.318514347076416,0.9928085207939148,6.25000029685907e-05
0.934561550617218,0.1726401150226593,0.9985170364379883,0.913957953453064,0.321723997592926,0.9927888512611389,6.25000029685907e-05
0.9348013997077942,0.17004182934761047,0.9985873103141785,0.9138989448547363,0.32026779651641846,0.9929364323616028,3.125000148429535e-05
0.9351091384887695,0.16976459324359894,0.9984952211380005,0.9139776229858398,0.31999608874320984,0.9928576946258545,3.125000148429535e-05
0.9352472424507141,0.1689281463623047,0.9985800385475159,0.9137808680534363,0.32258859276771545,0.9929167032241821,3.125000148429535e-05
0.9355356097221375,0.1684856414794922,0.9985606670379639,0.9139382839202881,0.3223402202129364,0.9930249452590942,3.125000148429535e-05
0.9356228709220886,0.168021559715271,0.9986261129379272,0.9138596057891846,0.3214031457901001,0.9929757714271545,1.5625000742147677e-05
0.9363546371459961,0.16698460280895233,0.9985945820808411,0.9137120246887207,0.32163068652153015,0.9929561018943787,1.5625000742147677e-05
0.9355744123458862,0.16763192415237427,0.9987084865570068,0.9137710332870483,0.3216528594493866,0.9929167032241821,1.5625000742147677e-05
0.9365072846412659,0.16678138077259064,0.9986236691474915,0.9138891100883484,0.3235395848751068,0.9929167032241821,1.5625000742147677e-05
0.935821533203125,0.1666838377714157,0.9987205862998962,0.9138497710227966,0.32259702682495117,0.9929068684577942,7.812500371073838e-06
0.9362480044364929,0.1663098782300949,0.9986721277236938,0.9139776229858398,0.32319533824920654,0.9928970336914062,7.812500371073838e-06
